2020-08-21 15:54:39,716 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-08-21 15:54:39,764 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-08-21 15:54:39,774 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-08-21 15:54:39,776 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-08-21 15:54:39,841 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-08-21 15:54:39,845 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-08-21 15:54:40,545 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-08-21 16:00:10,784 INFO  SwAddin.cs: 328 - Part export called
2020-08-21 16:00:11,304 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from platform
2020-08-21 16:00:11,400 INFO  ExportHelperExtension.cs: 1142 - Found 35 in platform
2020-08-21 16:00:11,404 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in platform
2020-08-21 16:00:11,405 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from platform
2020-08-21 16:00:11,407 INFO  ExportHelperExtension.cs: 1142 - Found 35 in platform
2020-08-21 16:00:11,409 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in platform
2020-08-21 16:00:11,410 INFO  SwAddin.cs: 344 - Showing part
2020-08-21 16:01:16,937 INFO  SwAddin.cs: 328 - Part export called
2020-08-21 16:01:16,957 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from platform
2020-08-21 16:01:16,962 INFO  ExportHelperExtension.cs: 1142 - Found 35 in platform
2020-08-21 16:01:16,963 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in platform
2020-08-21 16:01:16,963 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from platform
2020-08-21 16:01:16,964 INFO  ExportHelperExtension.cs: 1142 - Found 35 in platform
2020-08-21 16:01:16,965 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in platform
2020-08-21 16:01:16,966 INFO  SwAddin.cs: 344 - Showing part
2020-08-21 16:02:13,401 INFO  PackageXMLWriter.cs: 21 - Creating package.xml at C:\Users\pswee\Downloads\platform\manifest.xml
2020-08-21 16:02:13,524 INFO  ExportHelper.cs: 451 - Saving users preferences
2020-08-21 16:02:13,533 INFO  ExportHelper.cs: 465 - Setting STL preferences
2020-08-21 16:02:14,318 INFO  ExportHelper.cs: 479 - Returning STL preferences to user preferences
2020-08-21 16:04:29,785 INFO  SwAddin.cs: 328 - Part export called
2020-08-21 16:04:29,803 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from platform
2020-08-21 16:04:29,808 INFO  ExportHelperExtension.cs: 1142 - Found 37 in platform
2020-08-21 16:04:29,809 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [CoordSys] in platform
2020-08-21 16:04:29,812 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from platform
2020-08-21 16:04:29,814 INFO  ExportHelperExtension.cs: 1142 - Found 37 in platform
2020-08-21 16:04:29,815 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in platform
2020-08-21 16:04:29,816 INFO  SwAddin.cs: 344 - Showing part
2020-08-21 16:11:45,955 INFO  SwAddin.cs: 328 - Part export called
2020-08-21 16:11:45,972 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from platform
2020-08-21 16:11:45,977 INFO  ExportHelperExtension.cs: 1142 - Found 37 in platform
2020-08-21 16:11:45,978 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [CoordSys] in platform
